keyword,location,text,target,cleaned_text,token_length
ablaze,unknown,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze,12
ablaze,unknown,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,telangana section imposed bhainsa january clash erupted two group january po,11
ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,arsonist set car ablaze dealership,5
ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,arsonist set car ablaze dealership,5
ablaze,unknown,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l,13
ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,child chinese tweet would gone viral social medium would ablaze snl would made racist j,15
ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,several house set ablaze ngemsibaa village oku sub division north west region cameroon,13
ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,16
ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,national security minister kan dapaahs side chic set internet ablaze latest powerful video,13
ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,creature soul longer clarent blue ablaze thing carrying memory memory,10
ablaze,unknown,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,image showing havoc caused cameroon military torched house okuthe shameless military reported,12
ablaze,unknown,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,social medium went banana chuba hubbard announced monday evening plan return okstate,12
ablaze,unknown,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office,17
ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol,11
ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,amen set whole system ablaze man,6
ablaze,unknown,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,image showing havoc caused cameroon military torched house okuthe shameless military,11
ablaze,unknown,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,cow today local factory sadly still ablaze redjanuary,8
ablaze,unknown,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,rengoku set heart ablaze p missed style coloring c,9
ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,paulzizkaphoto rundle ablaze wishing good evening,6
ablaze,unknown,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou,14
ablaze,unknown,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total,10
ablaze,unknown,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,fire ablaze throughout landas prophosized apocalypse come fruitionnot building standingas come st,12
ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,thankfultuesday isaiah pas water pas r,6
ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,walk fire scorched flame set ablaze product,7
ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,originally intended fired boarder opposing ship crew gunner shipss riggi,10
ablaze,unknown,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,warm greeting occasion lohri winter pass may everyone woe trouble set ablaze,12
ablaze,unknown,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,another arson njikomboyonwr ambazombies yesterday set ablaze council building country wo,11
ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become,12
ablaze,unknown,that is kind true sadly,0,kind true sadly,3
ablaze,unknown,I swear that jam will set the world ablaze,0,swear jam set world ablaze,5
ablaze,unknown,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,marivan kurdistan province monday jan th protester set propaganda banner qassemsoleimani ablaze,12
ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,marivan kurdistan province monday jan th protester set propaganda banner qassemsoleimani ablaze,12
ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,turn blind eye icident setting ablaze house h,8
ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,love completely crazy fucking dream ripped like torn jean ev,10
accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,term demon burning dark ruined people use magic interact without harm ac,12
accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo,16
accident,unknown,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med,15
accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,gave u everything horrible foot infection wore one thong,9
accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,yeah new swag point since accident like totally transformed bob,10
accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,cool day git push origin currentbranchname know,7
accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,preorder newrelease today witness connected investigating thenutcrackerconspiracy died either,9
accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,back neck still fucked accident,5
